,Task ID,Instruction
0,0,place the cup shaped object to the green tray
1,0,put gray colored object in green tray
2,0,drop white colored object into the green tray
3,0,comportment black shape object in green container
4,0,slip black and white shaped object in green container
5,1,insert the brown colored object in green tray
6,1,put brown shape object in green container
7,1,pick brown colored object and place it to the green tray
8,1,put  vase shaped object to green container 
9,1,drop brown colored object do the green tray
10,2,carry dumbbell shaped blue object and set down in green holder.
11,2,pick the blue colored object in green tray
12,2,drop blue shaped object in green container 
13,2,place blue colored object in green tray
14,2,put blue colored object to the green tray
15,3,put brown shaped object in green container 
16,3,put brown colored object on the green tray
17,3,insert the brown colored object in the green tray
18,3,put brown colored shaped object in the green container
19,3,pick the brown colored object and place to tray it green tray
20,4,put black colored shaped object in the green container
21,4,drop the chalice shaped object on the green tray
22,4,take white colored object at the green tray
23,4,drop chalice shaped object the green tray
24,4,Grab the Black and white dumbell and place it in the green receptical
25,5,slip the brown colored object in the green tray
26,5,insert brown color shaped container  in the green container 
27,5,pick the brown colored object in green tray
28,5,insert the brown colored object on green tray
29,5,slip brown colored shaped object in the green container
30,6,pick the brown colored object the green tray
31,6,insert brown shape object in green container
32,6,insert the brown colored object in the green tray 
33,6,place trapezoidal prism shaped object in the green container
34,6,place  brown colored object  on the green tray
35,7,place gray colored object at the green tray
36,7,drop the chalice shaped object on the green tray
37,7,slip gray colored shaped object  in the green container
38,7,drop chalice shaped object in green container
39,7,Pick the gray colored object place the green tray.
40,8,place white colored shaped object in the green container
41,8,place white color shaped object in the green container 
42,8,pick white colored objected was the green tray
43,8,insert the white colored object on green tray
44,8,insert the white colored object in green tray
45,9,insert red colored shaped object in the green container
46,9,take brown colored object  at the  green tray
47,9,put brown colored object to the green tray
48,9,Grasp red color bowl and drop it in green bin
49,9,insert red colored shaped object in the green container
50,10,put white shaped object in green container
51,10,place white colored object in green tray
52,10,drop pot shaped object in green container
53,10,place the white colored object on the green tray
54,10,put white colored object in the green tray
55,11,drop brown colored object on the green tray
56,11,put brown colored shaped object in the green container
57,11,put brown shaped object in green container 
58,11,put the brown colored object into the green tray
59,11,put brown colored object in green tray
60,12,take the gray colored object and to place to the green tray
61,12,put gray shape object in green container
62,12,put the gray colored object in green tray
63,12,slip the gray color object on green tray
64,12,put gray shaped object in green container
65,13,drop white colored object into green tray 
66,13,put white colored object on the green tray
67,13,pick white colored object on the green tray
68,13,space white shaped object in green container
69,13,insert white shaped object in green container
70,14,put red shaped object in green container 
71,14,put red shaped object in green container
72,14,Put red chili shaped object in green bin.
73,14,insert brown colored object with the green tray
74,14,insert brown colored object on the green tray
75,15,take freeform shaped object and put in green tray
76,15,space freedom shaped object in green container
77,15,pick brown colored object in the  green tray
78,15,place red color shaped object in the green container 
79,15,place  red colored object to green container
80,16,drop the orange colored object at the green tray
81,16,slip orange colored shaped object in the green container
82,16,drop orange shaped object in the green container 
83,16,transition the long boat shaped object into a green vessel
84,16,place orange colored object on the green tray
85,17,drop wedge shaped object in green container
86,17,put orange shaped object in green container 
87,17,pick orange colored object and place the green tray
88,17,pick the  orange colored object place green tray
89,17,slip the vase shaped object and to place in the green tray
90,18,place blue colored object the green tray
91,18,put the blue colored object on green tray
92,18,insert blue shape object in green container
93,18,insert the blue color object to green tray
94,18,place blue colored shaped object to green container
95,19,pick the brown colored object like the green tray 
96,19,shift the bullet shaped object over to a green receptacle
97,19,grasp brown bullet shaped object and drop in green bin
98,19,put brown shape object in green container
99,19,put brown colored object in the green container
100,20,drop gray colored shaped object in the green container
101,20,drop the gray colored object into the green tray
102,20,pick up the gray bottle then drop it into the green bin
103,20,place the bottle shaped object to the green tray
104,20,place the gray color object to the green tray
105,21,pick the brown colored object at the green tray
106,21, slip brown color shaped object to green container 
107,21,pick the brown colored object in green tray
108,21,drop brown colored object on the green tray
109,21,space brown shape object in green container
110,22,put brown color shaped object in the green container 
111,22,pick brown colored object for the green tray
112,22,put brown colored shaped object in the green container
113,22,insert brown colored object and the green tray
114,22,insert the brown colored object on green tray
115,23,place the brown colored object in green tray
116,23,place brown shaped object in green container
117,23,space  brown shaped object in green container
118,23,pick brown colored object in green tray
119,23,pick the brown colored object in green tray
120,24,drop gray shaped object in green container
121,24,put gray shaped object in green container 
122,24,pick the gray colored object like the green tray 
123,24,insert gray colored object  at the green tray
124,24,take gray colored object on the green tray
125,25,pick the gray colored object on green tray
126,25,insert gray shaped object in green container 
127,25,square gray shaped object in green container
128,25,insert gray colored object  to green tray
129,25,pick gray colored object and insert to green tray 
130,26,insert the cup shaped water jug object to green tray
131,26,place the cup shape object to the green tray
132,26,square cubic shaped object in green container
133,26,slip cubic shaped object in green container
134,26,pick blue colored objected in to the green tray
135,27,place bowl shaped object in green container
136,27,drop brown shaped object in green container
137,27,pick the brown colored object in  green tray
138,27, insert brown colored object on the green tray
139,27,place the round cereal bowl shaped object in the green colored tray
140,28,insert brown colored object on the green tray
141,28,place the brown colored object into green tray
142,28,drop brown color shaped object  to green container 
143,28,put brown colored object in green tray
144,28,place brown shape object in green container 
145,29,drop yellow shaped object in green container 
146,29,place the yellow colored object in green tray
147,29,insert yellow colored object on the green tray
148,29,insert yellow colored shaped object in the green container
149,29,pick the yellow colored object in green tray
150,30,insert the cup shape object to green tray
151,30,drop gray colored object in green tray
152,30,put the gray colored object on green tray
153,30,insert gray colored shaped object in the green container
154,30,place gray colored shaped object in the green container
155,31,place blue colored object  in the green container
156,31,place blue colored object at the  green tray
157,31,pick the blue colored object and drop in the green tray
158,31,insert blue shaped object in green container 
159,31,insert blue colored object in green tray
160,32,space  black and white shaped  object in green container
161,32,insert black and white shaped object in green container
162,32,Pick the white colored object insert the green tray.
163,32,put gray colored object into the green tray
164,32,put the gray colored object into green tray
165,33,put brown shaped object in green container
166,33,put brown colored object in the green tray
167,33,put the brown colored object in the green tray
168,33,place brown shaped object in green container 
169,33,pick the brown colored object and drop in the green tray
170,34,place the blue colored object in the green tray
171,34,take blue colored object and insert the green tray
172,34,drop blue shaped object in green container
173,34,slip blue shaped object in green container
174,34,place blue colored object in the green tray
175,35,drop gray colored object into the green tray
176,35,pick the gray colored object place green tray
177,35,drop the gray colored object the green tray
178,35,drop gray shaped object in green container 
179,35,space gray shaped object in green container
180,36,drop white colored objected on the  green tray
181,36,drop white colored shaped object in the green container
182,36,put white shaped object in green container
183,36,insert white colored object on the green tray
184,36,drop the white colored object in green tray
185,37,space red object in green container
186,37,drop the brown colored object in green tray
187,37,place gray colored object in green tray
188,37,put red shaped object in green container
189,37,drop brown colored object into green tray 
190,38,put orange colored object in green tray
191,38,put orange colored object on the green tray
192,38,put orange colored object  into the green tray  
193,38,drop orange shaped object in green container 
194,38,drop orange shaped object in green container
195,39,drop yellow shaped object in green container 
196,39,pick yellow colored object the green tray
197,39,pick yellow colored object for the green tray
198,39,Put the yellow colored object to green tray.
199,39,place yellow shaped object in green container
200,40,drop vase shaped object in the green tray
201,40,insert vase shaped object at the green tray
202,40,put gray colored shaped object in the green container
203,40,put bowl shape object in green container
204,40,insert the vase shaped object on the green tray
205,41,drop the chalice shaped object on green tray
206,41,put tulip-shaped object in the green container
207,41,drop the chalice shaped object in green tray
208,41,put goblet  shaped object in green container
209,41,insert chalice shaped object was the green tray
210,42,Pick up the irregular shaped item and then put it into the green colored bin.
211,42,put organic shaped object in green container 
212,42,put freeform shaped object in green tray
213,42,put white color shaped object in the green container 
214,42,place freeform shaped object in green tray
215,43,drop the bottle shaped object into the green tray
216,43,place cylinder shape object in green container
217,43,place skittle shaped object  in the green container
218,43,inset the bottle shaped object in green tray
219,43,pick the bottle shaped object in green tray
220,44,drop coracle shaped object in the green container 
221,44,pick the canoe shaped object on green tray
222,44,place orange colored shaped object in the green container
223,44,pick canoe shaped object  for the  green tray
224,44,drop canoe shaped object on the green tray
225,45,pick cup shaped object in green tray
226,45,pick the cup shaped object insert green tray
227,45,pick the cup shaped object and insert to green tray
228,45,drop cylinder shaped object in green container 
229,45,insert cylinder  shaped object in green container 
230,46,pick the bowl shaped object and drop in the green tray
231,46,insert bowl shaped object on the  green tray
232,46,place spherical shaped object in the green container
233,46,place bowl shaped object on the green tray
234,46,place curved shaped object in green container 
235,47,pick the trapezoidal prism shaped object green tray
236,47,insert the trapezoidal prism shaped object in green tray
237,47,insert square shaped object in green container 
238,47,Picked up the cowbell shaped object and put it in the green bin.
239,47,Grab the rectangular box and move it to the green colored receptacle
240,48,drop cylinder shaped object with the green tray
241,48,drop the cylinder shaped object in green tray
242,48,slip bottle shaped object in green container 
243,48,insert dimensional shaped object in the green container
244,48,place cylinder shaped object on the green tray 
245,49,put the round hole shaped object in green tray
246,49,place round hole shaped object in green tray
247,49,Pick the  round hole shaped object in the green tray.
248,49,space round shaped object in green container
249,49,drop blue colored shaped object in the green container
250,50,drop gray colored object in red tray
251,50,insert black and white shaped object in red container 
252,50,pick the cup shaped object and drop in the red tray
253,50,insert   black and white shaped object in red side container 
254,50,take  white colored object  at the  red tray
255,51,place brown colored object on the red tray
256,51,put brown colored object in to red tray
257,51,insert pot shaped object in red container 
258,51,insert brown shaped object in red container 
259,51,pick the brown colored object in red tray
260,52,drop blue colored object in red tray
261,52,insert blue shape object in red container
262,52,place the blue colored object the red tray
263,52,drop blue colored object the red tray
264,52,drop blue colored object  in the red container
265,53,pick the brown colored object in red tray
266,53,drop bowl shaped object in the red container 
267,53,space container shaped object in red container
268,53,insert brown colored object the red tray
269,53,insert brown colored object the red tray
270,54,drop the gray and white colored object to red tray
271,54,insert gray and white colored object on the red tray
272,54,put black shape object in red container
273,54,put black and white color shaped object in the red container 
274,54,drop chalice shaped object at the red tray
275,55,drop square prism bin object in the red container
276,55,insert brown colored object in red tray
277,55,pick brown colored object to the red tray
278,55,drop the trapezoidal prism shaped object on the red tray
279,55,slip brown colored object to red container
280,56,space trapezoidal shaped object in red container
281,56,drop brown shaped object in red container 
282,56,Take the vibrant brown trapezoidal woven basket and place it into the red bin.
283,56,drop brown colored object on the red tray
284,56,drop the trapezoidal prism shape object on the red tray
285,57,put the gray colored object into the red tray
286,57,place the gray colored object on red tray
287,57,insert gray shape object in red container
288,57,Put the gray colored object to the red tray.
289,57,drop gray color shaped object  in the red container 
290,58,drop white colored object in the red tray
291,58,pick  white colored object  on the  red tray
292,58,put eh white colored object into the red tray
293,58,place white colored shaped object in the red container
294,58,place white color shaped object in the red container 
295,59,pick the brown colored object in red tray
296,59,place brown colored object on the red tray
297,59,slip the red color object to red tray
298,59,insert red shaped object in red container 
299,59,drop red colored shaped object in the red container
300,60,drop white colored object in red tray
301,60,insert white colored shaped object in the red container
302,60,drop white colored shaped object in the red container
303,60,put white colored object on the red tray
304,60,insert white colored object on the red tray
305,61,put brown colored object in the red container
306,61,insert pot shaped object in red container
307,61,insert brown colored object in red tray
308,61,insert brown colored object on the red tray
309,61,Collect barrel shaped brown object then release into the red box.
310,62,put gray shaped object in red container 
311,62,Place the gray colored object in red tray.
312,62,place gray colored object  on the red tray 
313,62,put bottle shaped object in red container 
314,62,insert gray colored object with the red tray
315,63,stew bowl shaped object in the red container
316,63,place white colored object in the red tray
317,63,insert white colored object on red tray
318,63,place white shaped object in red container 
319,63,place white colored object at the  red tray
320,64,drop bottle shaped object in red container
321,64, place red colored object was the red tray
322,64,put red colored shaped object in the red container
323,64,place brown colored object on the red tray
324,64,place brown colored object  in the red tray
325,65,drop brown colored object in red tray
326,65,insert the red colored object to the red tray
327,65,slip red shaped object in red container 
328,65,take brown colored object and the red tray
329,65,place red shaped object in red container
330,66,drop the canoe shaped object on the red tray
331,66,drop the orange colored object the red tray
332,66,pick the orange colored object to the red tray
333,66,drop orange colored object in the red container
334,66,slip orange color shaped object in the red container 
335,67,drop  vase shaped object  in the red container 
336,67,insert orange colored object on red tray
337,67,insert orange shaped object in red container 
338,67,put orange colored object  was the red tray
339,67,insert orange colored object the red tray
340,68,Pick the blue colored object place the red tray.
341,68,put blue shaped object in red container 
342,68,put cup shaped object in the red container 
343,68,place cup shaped object in red container
344,68,place blue colored object to red tray
345,69,drop brown colored object on the red tray
346,69,put brown colored object in red tray
347,69,put the brown colored object on red tray
348,69,put brown color shaped object in the red container 
349,69,drop vase shaped object in red container
350,70, place gray colored object at the red tray
351,70,pick the gray colored object in red tray
352,70,place the gray colored object the red tray
353,70,place gray colored shaped object  in the red container
354,70,grasp the bottle shaped gray object an put into the red receptical
355,71,put the brown colored object on red tray
356,71,place brown shape object in red container
357,71,slip brown shaped object in red container 
358,71,put brown colored object on the red tray
359,71,put the brown colored object into red tray
360,72,drap brown colored object in the red tray
361,72,place brown colored shaped object in the red container 
362,72,drop trapezoidal shaped object in red container
363,72,drop brown colored object the red tray
364,72,insert the brown colored object on red tray
365,73,insert the canoe shape object to red tray
366,73,insert brown shaped object in red container 
367,73,square canoe shaped object in red container
368,73,slip the canoe shape object to red tray
369,73,slip the brown color and to put to the red tray
370,74,Grab the gray tub shaped object and drop it in the red container.
371,74,insert gray colored shaped object in the red container
372,74,pickup the gray color object and place it on the red tray
373,74,space curved shaped object in red container
374,74,slip the bowl shape object and placed red tray
375,75,put gray shaped object in red container
376,75,put gray shape object in red container
377,75,take gray colored object route the red tray
378,75,pick gray colored object on the red tray
379,75,insert gray colored object on the red tray
380,76,put the blue colored object into the red tray
381,76,put blue colored object on red tray
382,76,slip cubic shaped object in red container
383,76,slip cubic shaped object i red container
384,76,pick the blue colored object on red tray
385,77,put the brown colored object into the red tray
386,77,put brown colored object on red tray
387,77,insert brown colored object in the red container
388,77,insert brown shaped object in red container 
389,77,insert the brown colored object on red tray
390,78,drop brown colored object on the red tray
391,78,Insert the brown colored object in the red tray.
392,78,insert brown shaped object in red container
393,78,insert brown shape object in red container
394,78,pick the brown colored object and place it to the red tray
395,79,place yellow colored object on red tray
396,79,place yellow colored object the red tray
397,79,insert yellow colored object to the red tray
398,79,put round shaped object in red container
399,79,insert yellow shape object in red container
400,80,put gray colored object into the red tray 
401,80,put the cup shaped object in the red tray
402,80,drop gray colored shaped object in the red container
403,80,put the gray shaped object in red tray
404,80,place cubical shaped object in red container
405,81,put blue colored object into red tray
406,81,put blue colored shaped object in the red container
407,81,put the blue colored object on red tray
408,81,put blue shaped object in the red container 
409,81,drop cylinder shaped object in red container
410,82,drop  white colored object in the red tray
411,82,drop the gray colored object into the red tray
412,82,space black shaped object in red container
413,82,slip black and white shaped object in red container 
414,82,put the gray colored object into the red tray
415,83,drop brown shaped object in red container
416,83,put brown colored object in the red tray
417,83,put the brown colored object on red tray
418,83,put brown colored shaped object  in the red container
419,83,drop the brown colored object in red tray
420,84,place the blue colored object in red tray
421,84,place blue colored object in red tray
422,84,put blue shaped object in red container
423,84,put blue colored shaped object in the red container
424,84,insert blue colored object was the red tray
425,85,insert gray shaped object in red container
426,85,put gray colored object in red tray
427,85,insert gray colored shaped object in the red container
428,85,put gray colored object on red tray
429,85,take  gray colored object with the red tray
430,86,drop white shaped object in red container 
431,86,drop white colored object into red tray
432,86,Pick up the colorless shape and place it in the red colored bin.
433,86,grasp white item and put it into red bin
434,86,take the white colored object with the red tray
435,87,enter red colored object the red tray
436,87,insert red shaped object in red container
437,87,compartment red shape object in red container
438,87,place red colored object on the  red tray
439,87,pick the red colored object to red tray
440,88,take orange colored object and the red tray
441,88,place orange shaped object in red container 
442,88,place the orange colored object on red tray
443,88,insert  orange colored object in the red tray
444,88,drop orange colored shaped object  in the red container
445,89,put yellow shaped object in red container 
446,89,Drop the  yellow colored object into the red tray.
447,89,insert the yellow color object and placed the red tray
448,89,put the yellow colored object into the red tray
449,89,insert yellow shaped object in red container
450,90,put pot shaped object in red container 
451,90,Grasp Chess coin shaped  and receptacle at container in the red color.
452,90,place vase shaped object into the red tray
453,90,put the vase shaped object on red tray
454,90,drop wedge shaped object in red container
455,91,place the chalice shaped object in red tray
456,91,take the chalice shaped object and insert to the red tray
457,91,put the chalice shaped object on red tray
458,91,drop tulip shaped object in red container 
459,91,slip tulip shaped object in red container
460,92,drop the freeform shaped object  in red tray
461,92,pick the freeform shaped object in red tray
462,92,drop organic shaped object in red container 
463,92,place freeform shaped object in red tray
464,92,space scribble shaped object in red container
465,93,place the bottle shaped object into the red tray
466,93,slip cylinder shaped object in red container 
467,93,put the bottle shaped object in the red tray
468,93,Drop the bottle shaped object in red tray.
469,93,slip cylinder shaped object in red side container 
470,94,insert canoe shaped object in red tray
471,94,insert the canoe shaped object on the red tray
472,94,put dugout shape object in red container
473,94,put the canoe shaped object into the red tray
474,94,put boat shaped object in red container 
475,95,insert the cup shaped object on red tray
476,95,slip cylindrical shaped object in the red container
477,95,slip cubical shaped object in red container
478,95,place cup shaped object in red tray
479,95,put the cup shaped object into the red tray
480,96,slip concave shaped object in the red container
481,96,place bottle  shaped object in the red container
482,96,put bowl shaped object in the red tray
483,96,insert the bowl shaped object on red tray
484,96,insert the bowl shaped object in red tray
485,97,put trapezoidal shaped object in red container
486,97,drop trapezoidal prism shaped object on the red tray
487,97,enter the trapezoidal prism shaped object on the red tray
488,97,drop trapezoidal prism shaped object in red tray
489,97,place square shaped object in red container 
490,98,insert cylinder shaped object in red tray
491,98,pick the cylinder shaped object to red tray
492,98,Drop the cylinder shaped object into the red tray.
493,98,space pillar shaped object in red container
494,98,space bottle shape object in red container
495,99,drop the round hole shaped object into the red tray
496,99,insert round shaped object in the red container 
497,99,Grasp the circular object and placed in the red receptacle.
498,99,pick the round hole shaped object in red tray
499,99,slip round  shaped object in the red container
500,100,insert white colored object in front tray
501,100,put cup shaped object to front container
502,100,put the gray and white colored object on front tray
503,100,put cup shaped object in the front container 
504,100,place the gray and white colored object the front tray
505,101,insert brown color shaped object  in the front container 
506,101,drop brown colored shaped object in the front container
507,101,enter the brown colored fountain vase inset the front tray
508,101, take  brown colored object  was the front tray
509,101,drop brown colored object the front tray
510,102,drop the blue colored object on front tray
